Duty Cycle,Left Rotor Speed (rpm),Left Rotor Speed (rad/s),Right Rotor Speed (rpm),Right Rotor Speed (rad/s)
-255,-484.06,-50.691,-491.69,-51.490
-254,-490.8,-51.396,-502.85,-52.658
-253,-492.47,-51.571,-500.89,-52.453
-252,-492.47,-51.571,-498.58,-52.211
-251,-485.63,-50.855,-496.94,-52.039
-250,-485.43,-50.834,-495.04,-51.840
-249,-484.57,-50.744,-493.01,-51.628
-248,-481.79,-50.453,-491.24,-51.443
-247,-480.92,-50.362,-489.33,-51.243
-246,-479.54,-50.217,-486.45,-50.941
-245,-476.7,-49.920,-485.23,-50.813
-244,-474.35,-49.674,-482.83,-50.562
-243,-471.74,-49.400,-480.25,-50.292
-242,-469.98,-49.216,-478.51,-50.109
-241,-467.34,-48.940,-477.02,-49.953
-240,-466.76,-48.879,-474.97,-49.739
-239,-465.36,-48.732,-472.67,-49.498
-238,-461.64,-48.343,-470.62,-49.283
-237,-463.32,-48.519,-468.74,-49.086
-236,-458.29,-47.992,-466.5,-48.852
-235,-457.05,-47.862,-464.13,-48.604
-234,-454.26,-47.570,-461.32,-48.309
-233,-455.08,-47.656,-460.21,-48.193
-232,-449.78,-47.101,-457.2,-47.878
-231,-450.15,-47.140,-456.1,-47.763
-230,-445.58,-46.661,-453.45,-47.485
-229,-445.35,-46.637,-451.67,-47.299
-228,-442.34,-46.322,-449.67,-47.089
-227,-442.72,-46.362,-447.67,-46.880
-226,-437.96,-45.863,-445.13,-46.614
-225,-437.97,-45.864,-444.31,-46.528
-224,-433.49,-45.395,-441.5,-46.234
-223,-433.9,-45.438,-439.18,-45.991
-222,-430.41,-45.072,-436.97,-45.759
-221,-430.65,-45.098,-435.5,-45.605
-220,-424,-44.401,-432.87,-45.330
-219,-424.47,-44.450,-430.53,-45.085
-218,-423.28,-44.326,-428.81,-44.905
-217,-419.73,-43.954,-426.6,-44.673
-216,-418.34,-43.808,-424.53,-44.457
-215,-416.86,-43.653,-422.92,-44.288
-214,-414.35,-43.391,-420.84,-44.070
-213,-412.5,-43.197,-418.29,-43.803
-212,-410.57,-42.995,-416.38,-43.603
-211,-408.56,-42.784,-414.37,-43.393
-210,-405.38,-42.451,-412.48,-43.195
-209,-404.14,-42.321,-410.3,-42.967
-208,-403.19,-42.222,-408.24,-42.751
-207,-397.26,-41.601,-405.66,-42.481
-206,-400.63,-41.954,-403.87,-42.293
-205,-399.06,-41.789,-400.13,-41.902
-204,-396.78,-41.551,-399.63,-41.849
-203,-390.46,-40.889,-400.23,-41.912
-202,-391.11,-40.957,-396.66,-41.538
-201,-386.39,-40.463,-392.89,-41.143
-200,-386.3,-40.453,-391.2,-40.966
-199,-383.41,-40.151,-388.94,-40.730
-198,-383.23,-40.132,-386.47,-40.471
-197,-378.63,-39.650,-384.77,-40.293
-196,-378.54,-39.641,-382.41,-40.046
-195,-373.88,-39.153,-380.47,-39.843
-194,-374.4,-39.207,-378.25,-39.610
-193,-371.39,-38.892,-376.39,-39.415
-192,-371.32,-38.885,-374.81,-39.250
-191,-364.98,-38.221,-371.95,-38.951
-190,-365.98,-38.325,-370.45,-38.793
-189,-364.39,-38.159,-367.6,-38.495
-188,-360.9,-37.793,-366.65,-38.395
-187,-359.43,-37.639,-363.82,-38.099
-186,-357.77,-37.466,-361.51,-37.857
-185,-355.4,-37.217,-359.64,-37.661
-184,-353.42,-37.010,-357.78,-37.467
-183,-351.52,-36.811,-355.61,-37.239
-182,-350,-36.652,-353.52,-37.021
-181,-347.27,-36.366,-351.11,-36.768
-180,-344.13,-36.037,-349.16,-36.564
-179,-345.57,-36.188,-347.25,-36.364
-178,-341.23,-35.734,-344.7,-36.097
-177,-338.63,-35.461,-342.67,-35.884
-176,-336.36,-35.224,-340.99,-35.708
-175,-338.66,-35.464,-338.63,-35.461
-174,-331.4,-34.704,-336.69,-35.258
-173,-330.96,-34.658,-334.87,-35.068
-172,-329.15,-34.469,-333.29,-34.902
-171,-326.66,-34.208,-330.87,-34.649
-170,-325.99,-34.138,-329.21,-34.475
-169,-322.66,-33.789,-326.87,-34.230
-168,-320.67,-33.580,-324.79,-34.012
-167,-321.83,-33.702,-322.35,-33.756
-166,-315.03,-32.990,-320.48,-33.561
-165,-314.9,-32.976,-318.96,-33.401
-164,-315.4,-33.029,-316.94,-33.190
-163,-307.78,-32.231,-314.36,-32.920
-162,-310.15,-32.479,-312.69,-32.745
-161,-306.42,-32.088,-309.97,-32.460
-160,-305.39,-31.980,-308.85,-32.343
-159,-304.68,-31.906,-306.14,-32.059
-158,-300.83,-31.503,-304.44,-31.881
-157,-298.37,-31.245,-302.54,-31.682
-156,-296.77,-31.078,-300.28,-31.445
-155,-295.08,-30.901,-297.94,-31.200
-154,-293.34,-30.718,-296.32,-31.031
-153,-290.93,-30.466,-294.08,-30.796
-152,-287.22,-30.078,-292.43,-30.623
-151,-286.67,-30.020,-290.28,-30.398
-150,-285.31,-29.878,-288.17,-30.177
-149,-281.73,-29.503,-286.63,-30.016
-148,-284.13,-29.754,-284.29,-29.771
-147,-276.38,-28.942,-282.09,-29.540
-146,-276.43,-28.948,-280.57,-29.381
-145,-277.29,-29.038,-278.26,-29.139
-144,-265.51,-27.804,-274.76,-28.773
-143,-268.31,-28.097,-272.66,-28.553
-142,-265.25,-27.777,-267.35,-27.997
-141,-267.92,-28.057,-266.64,-27.922
-140,-265.25,-27.777,-266.84,-27.943
-139,-268.15,-28.081,-266.61,-27.919
-138,-265.35,-27.787,-266.63,-27.921
-137,-267.84,-28.048,-266.61,-27.919
-136,-265.36,-27.788,-266.91,-27.951
-135,-267.95,-28.060,-266.5,-27.908
-134,-265.52,-27.805,-266.64,-27.922
-133,-267.56,-28.019,-266.69,-27.928
-132,-265.63,-27.817,-266.85,-27.944
-131,-267.73,-28.037,-266.46,-27.904
-130,-246.68,-25.832,-266.72,-27.931
-129,-245.06,-25.663,-266.64,-27.922
-128,-242.49,-25.393,-245.61,-25.720
-127,-239.96,-25.129,-242.1,-25.353
-126,-238.26,-24.951,-240.32,-25.166
-125,-236.56,-24.773,-238.46,-24.971
-124,-234.96,-24.605,-236.32,-24.747
-123,-232.88,-24.387,-234.15,-24.520
-122,-229.87,-24.072,-232.57,-24.355
-121,-228.19,-23.896,-230.94,-24.184
-120,-229.33,-24.015,-228.86,-23.966
-119,-225.61,-23.626,-226.51,-23.720
-118,-221.24,-23.168,-225.34,-23.598
-117,-221.25,-23.169,-222.54,-23.304
-116,-220.55,-23.096,-220.86,-23.128
-115,-216.97,-22.721,-218.89,-22.922
-114,-215.77,-22.595,-217.42,-22.768
-113,-215.52,-22.569,-214.95,-22.510
-112,-210.09,-22.001,-213.35,-22.342
-111,-210.04,-21.995,-211.06,-22.102
-110,-207.74,-21.754,-209.31,-21.919
-109,-206.59,-21.634,-207.18,-21.696
-108,-204.1,-21.373,-205.7,-21.541
-107,-202.58,-21.214,-203.54,-21.315
-106,-197.18,-20.649,-201.85,-21.138
-105,-200.15,-20.960,-200.36,-20.982
-104,-198.76,-20.814,-197.56,-20.688
-103,-192.41,-20.149,-195.89,-20.514
-102,-193.36,-20.249,-194.2,-20.337
-101,-191.66,-20.071,-191.78,-20.083
-100,-190.06,-19.903,-190.62,-19.962
-99,-184.73,-19.345,-188.37,-19.726
-98,-183.98,-19.266,-185.93,-19.471
-97,-183.58,-19.224,-184.47,-19.318
-96,-181.61,-19.018,-182.39,-19.100
-95,-177.84,-18.623,-180.71,-18.924
-94,-177.93,-18.633,-177.79,-18.618
-93,-177.66,-18.605,-177.84,-18.623
-92,-173.48,-18.167,-174.9,-18.315
-91,-170.8,-17.886,-172.6,-18.075
-90,-170.72,-17.878,-170.98,-17.905
-89,-170.08,-17.811,-169.41,-17.741
-88,-163.98,-17.172,-167.16,-17.505
-87,-163.89,-17.163,-164.85,-17.263
-86,-159,-16.650,-163.69,-17.142
-85,-163.22,-17.092,-160.98,-16.858
-84,-157.25,-16.467,-159.97,-16.752
-83,-155.84,-16.320,-157.63,-16.507
-82,-157.59,-16.503,-155.64,-16.299
-81,-150.86,-15.798,-153.64,-16.089
-80,-152.02,-15.919,-151.99,-15.916
-79,-147.44,-15.440,-150.06,-15.714
-78,-148.37,-15.537,-147.8,-15.478
-77,-144.16,-15.096,-145.53,-15.240
-76,-145.02,-15.186,-144.21,-15.102
-75,-138.14,-14.466,-142.22,-14.893
-74,-139.99,-14.660,-140.8,-14.745
-73,-139.1,-14.567,-137.87,-14.438
-72,-130.6,-13.676,-133.44,-13.974
-71,-134.39,-14.073,-133.46,-13.976
-70,-132.46,-13.871,-133.37,-13.966
-69,-135.98,-14.240,-133.28,-13.957
-68,-126.82,-13.281,-133.07,-13.935
-67,-124.6,-13.048,-133.58,-13.988
-66,-123.5,-12.933,-125.43,-13.135
-65,-122.58,-12.837,-123.01,-12.882
-64,-120.3,-12.598,-120.78,-12.648
-63,-118.64,-12.424,-118.97,-12.459
-62,-115.63,-12.109,-117.19,-12.272
-61,-113.83,-11.920,-114.89,-12.031
-60,-112.74,-11.806,-113.58,-11.894
-59,-112.17,-11.746,-110.99,-11.623
-58,-109.99,-11.518,-108.86,-11.400
-57,-104.23,-10.915,-107.39,-11.246
-56,-105.71,-11.070,-106.32,-11.134
-55,-101.61,-10.641,-104.16,-10.908
-54,-103.56,-10.845,-101.2,-10.598
-53,-97.49,-10.209,-100.4,-10.514
-52,-96.38,-10.093,-97.76,-10.237
-51,-97.85,-10.247,-95.43,-9.993
-50,-92.69,-9.706,-94.42,-9.888
-49,-93.18,-9.758,-92.19,-9.654
-48,-87.46,-9.159,-89.07,-9.327
-47,-89.75,-9.399,-88.9,-9.310
-46,-84.14,-8.811,-86.07,-9.013
-45,-85.17,-8.919,-84.14,-8.811
-44,-79.21,-8.295,-82.62,-8.652
-43,-80.88,-8.470,-80.5,-8.430
-42,-80.48,-8.428,-78.34,-8.204
-41,-73.38,-7.684,-76.44,-8.005
-40,-75.16,-7.871,-74.54,-7.806
-39,-71.48,-7.485,-72.55,-7.597
-38,-72.37,-7.579,-70.82,-7.416
-37,-68.31,-7.153,-69.21,-7.248
-36,-64.83,-6.789,-66.57,-6.971
-35,-63.42,-6.641,-64.67,-6.772
-34,-62.1,-6.503,-62.85,-6.582
-33,-60.44,-6.329,-60.83,-6.370
-32,-58.42,-6.118,-59.08,-6.187
-31,-56.85,-5.953,-57.08,-5.977
-30,-55.52,-5.814,-55.27,-5.788
